,run_dir,shift,accuracy_mean,accuracy_std,loss_mean,loss_std
2,content_RelativePerformer_MNIST_redraw1000,-6,0.9988290667533875,0.03421929478645325,0.003094471525400877,0.08275380730628967
3,content_RelativePerformer_MNIST_redraw1000,-5,0.9988290667533875,0.03421929478645325,0.0026735689025372267,0.06535159051418304
4,content_RelativePerformer_MNIST_redraw1000,-4,0.9988290667533875,0.03421929478645325,0.004160626791417599,0.09283711761236191
5,content_RelativePerformer_MNIST_redraw1000,-3,0.9988290667533875,0.03421929478645325,0.0066392929293215275,0.15892648696899414
6,content_RelativePerformer_MNIST_redraw1000,-2,0.9988290667533875,0.03421929478645325,0.00801400002092123,0.2243329882621765
7,content_RelativePerformer_MNIST_redraw1000,-1,0.9988290667533875,0.03421929478645325,0.007435706444084644,0.21350565552711487
8,content_RelativePerformer_MNIST_redraw1000,0,0.9988290667533875,0.03421929478645325,0.0058355811052024364,0.15896472334861755
9,content_RelativePerformer_MNIST_redraw1000,1,0.9964871406555176,0.05920003354549408,0.008550482802093029,0.1521928757429123
10,content_RelativePerformer_MNIST_redraw1000,2,0.9953161478042603,0.06831813603639603,0.013743595220148563,0.22228392958641052
11,content_RelativePerformer_MNIST_redraw1000,3,0.9964871406555176,0.05920003354549408,0.014562265016138554,0.2422090470790863
12,content_RelativePerformer_MNIST_redraw1000,4,0.9976580739021301,0.04836501553654671,0.006493363995105028,0.11644052714109421
13,content_RelativePerformer_MNIST_redraw1000,5,0.9976580739021301,0.04836501553654671,0.0034168001729995012,0.058296773582696915
14,content_RelativePerformer_MNIST_redraw1000,6,0.9976580739021301,0.04836501553654671,0.0059153614565730095,0.10998991131782532
15,content_RelativePerformer_MNIST_redraw1000,7,0.9976580739021301,0.04836501553654671,0.007779237348586321,0.173555389046669
16,content_RelativePerformer_MNIST_redraw1000,8,0.9988290667533875,0.03421929478645325,0.006457755342125893,0.165971577167511
51,ClippedRelativePerformer,-8,0.9789227247238159,0.1437261998653412,0.08283628523349762,0.51691073179245
52,ClippedRelativePerformer,-7,0.9918032884597778,0.09021677076816559,0.040914181619882584,0.41313815116882324
53,ClippedRelativePerformer,-6,0.9929742217063904,0.08357378840446472,0.026211215183138847,0.3066938817501068
54,ClippedRelativePerformer,-5,0.9953161478042603,0.06831813603639603,0.01918654888868332,0.2392769455909729
55,ClippedRelativePerformer,-4,0.9953161478042603,0.06831813603639603,0.01681152731180191,0.2176872044801712
56,ClippedRelativePerformer,-3,0.9953161478042603,0.06831813603639603,0.015996210277080536,0.206705704331398
57,ClippedRelativePerformer,-2,0.9953161478042603,0.06831813603639603,0.016463110223412514,0.21297557651996613
58,ClippedRelativePerformer,-1,0.9953161478042603,0.06831813603639603,0.01703907549381256,0.22207804024219513
59,ClippedRelativePerformer,0,0.9953161478042603,0.06831813603639603,0.01712857559323311,0.22447246313095093
60,ClippedRelativePerformer,1,0.9953161478042603,0.06831813603639603,0.01691260375082493,0.22348269820213318
61,ClippedRelativePerformer,2,0.9953161478042603,0.06831813603639603,0.01649145968258381,0.22071649134159088
62,ClippedRelativePerformer,3,0.9953161478042603,0.06831813603639603,0.015971602872014046,0.2167154997587204
63,ClippedRelativePerformer,4,0.9953161478042603,0.06831813603639603,0.01614912413060665,0.21917344629764557
64,ClippedRelativePerformer,5,0.9941452145576477,0.0763370543718338,0.01901853457093239,0.242843359708786
65,ClippedRelativePerformer,6,0.9929742217063904,0.08357378840446472,0.02763328328728676,0.28781306743621826
66,ClippedRelativePerformer,7,0.9800936579704285,0.13976027071475983,0.052229102700948715,0.3924660086631775
67,ClippedRelativePerformer,8,0.9648711681365967,0.18421322107315063,0.12127300351858139,0.5490954518318176
